match_id,patch,region,start_time,duration,radiant_win,league_id,first_blood_time,r_hero_1,r_p1_id,r_hero_2,r_p2_id,r_hero_3,r_p3_id,r_hero_4,r_p4_id,r_hero_5,r_p5_id,d_hero_1,d_p1_id,d_hero_2,d_p2_id,d_hero_3,d_p3_id,d_hero_4,d_p4_id,d_hero_5,d_p5_id,rad_avg_gpm,dire_avg_gpm,first_roshan_team,first_roshan_time,roshan_2_team,roshan_2_time,first_tower_team,first_tower_time,first_tormentor_team,first_tormentor_time,kills_10m,max_gold_swing,wisdom_7m_rad,wisdom_7m_dire,radiant_team_id,dire_team_id
8739340568,59,8.0,1774181278.0,1563,0,19176.0,156,129,1561853228.0,37,1597478818.0,25,1237015751.0,50,1610165951.0,12,832070617.0,155,1162129721.0,70,1251464120.0,26,906785049.0,68,377231256.0,39,1041812125.0,297.4,469.0,0,1384,-1.0,9999.0,1.0,699.0,-1.0,9999.0,0,22252,0.0,0.0,10047486,9257546
8739337354,59,8.0,1774181136.0,1436,1,19176.0,133,100,1829920938.0,128,1316018302.0,74,911742983.0,11,1178408838.0,38,392081338.0,25,1548961829.0,85,1517666709.0,135,1567074367.0,6,1537517817.0,20,1025877538.0,560.2,308.0,-1,9999,-1.0,9999.0,1.0,606.0,-1.0,9999.0,0,29324,0.0,0.0,9711402,9957994
8739336354,59,8.0,1774181092.0,2316,1,19176.0,202,12,1451643521.0,85,1652158825.0,39,1609722588.0,2,318738566.0,25,1062968910.0,62,1002071267.0,83,1143209828.0,129,1014206551.0,70,839729682.0,11,1127374468.0,524.6,434.8,0,1879,-1.0,9999.0,1.0,520.0,-1.0,9999.0,0,15042,0.0,0.0,10055138,8769787
8739335731,59,8.0,1774181064.0,2423,1,19176.0,174,83,1424443759.0,79,921009762.0,47,1266731477.0,56,1277424227.0,99,1112938235.0,10,1588360388.0,15,1302250601.0,37,1164530934.0,50,1206225431.0,39,401783259.0,456.0,375.8,0,1552,0.0,2344.0,1.0,691.0,-1.0,9999.0,0,19832,0.0,0.0,9629413,10068848
8739335497,59,8.0,1774181052.0,2645,0,19176.0,42,14,258047361.0,39,168009448.0,68,406249239.0,6,276634894.0,86,186034415.0,155,259942760.0,13,133241274.0,64,128687158.0,70,438626610.0,63,337900635.0,418.2,552.2,0,966,0.0,1706.0,1.0,762.0,-1.0,9999.0,0,29609,0.0,0.0,7851527,9782864
8739333418,59,8.0,1774180960.0,3775,0,19176.0,292,96,922181951.0,94,1014607386.0,63,1678201552.0,39,811951138.0,74,1097969220.0,38,1134289325.0,76,1187651126.0,87,1253714767.0,85,1519197721.0,137,1192706012.0,452.8,517.2,0,1034,0.0,1792.0,1.0,563.0,-1.0,9999.0,0,20421,0.0,0.0,9825368,9736352
8739323142,59,3.0,1774180800.0,1238,0,19422.0,72,11,206642367.0,123,207829314.0,47,139937922.0,37,158847773.0,16,113457795.0,46,171262902.0,74,312436974.0,78,195108598.0,64,93817671.0,19,103735745.0,332.8,484.4,0,1040,-1.0,9999.0,1.0,465.0,-1.0,9999.0,0,13282,0.0,0.0,9351740,9823272
8739323005,59,3.0,1774180800.0,1578,1,19422.0,90,21,172099728.0,13,480412663.0,29,165564598.0,79,317880638.0,100,196878136.0,16,181716137.0,78,156328257.0,38,140411011.0,26,155447692.0,37,118559150.0,500.6,380.2,0,1045,-1.0,9999.0,1.0,594.0,-1.0,9999.0,0,14362,0.0,0.0,8255888,9828897
8739322940,59,3.0,1774180796.0,3215,1,19422.0,0,78,86698277.0,119,346412363.0,83,136829091.0,126,93618577.0,48,331855530.0,70,1044002267.0,129,402583877.0,39,106573901.0,79,164199202.0,64,73401082.0,577.0,489.8,0,1599,0.0,2329.0,1.0,671.0,-1.0,9999.0,0,22858,0.0,0.0,8291895,9572001
8739297402,59,3.0,1774179348.0,1546,1,18959.0,55,30,1090568489.0,35,1068676453.0,70,183270733.0,129,412910858.0,26,176158708.0,50,1227183303.0,46,1185918470.0,59,1228355759.0,71,928499811.0,39,1200963940.0,490.2,334.4,0,1195,-1.0,9999.0,1.0,499.0,-1.0,9999.0,0,14803,0.0,0.0,9426115,8629005
