match_id,win_radiant,first_roshan_team,first_roshan_time,first_tower_team,first_tower_time,wisdom_7m_rad,wisdom_7m_dire,first_shard_team,first_shard_time,rad_power_runes_10m
8752916020,1,0,1681,1,676,0,0,0,1163,7
8752883423,0,-1,0,1,652,0,0,0,998,8
8752849864,1,0,1606,1,633,0,0,0,1005,5
8752843386,0,-1,0,1,424,0,0,1,911,2
8752812205,1,1,1595,1,810,0,0,-1,2400,5
8752803846,1,0,2039,1,487,0,0,1,925,6
8752768316,1,-1,0,1,757,0,0,0,1080,8
8752763520,0,-1,0,1,408,0,0,0,905,3
8752750688,0,-1,0,1,789,0,0,1,1334,5
8752730369,1,-1,0,1,675,0,0,1,1316,7
8752720623,1,0,1389,1,556,0,0,0,1427,9
8752718181,1,0,1643,1,537,0,0,1,903,5
8752703766,0,-1,0,1,700,0,0,1,963,5
8752691062,1,0,1551,1,666,0,0,1,982,7
8752679610,0,1,1679,1,701,0,0,0,1101,6
8752669722,1,-1,0,1,573,0,0,0,903,6
8752664409,0,1,1714,1,492,0,0,0,902,4
8752644846,0,1,1545,1,624,0,0,0,900,6
8752643042,0,1,1992,1,599,0,0,1,900,6
8752601243,1,-1,0,1,641,0,0,0,913,8
8752578602,0,-1,0,1,821,0,0,1,983,7
8752559138,0,-1,0,1,782,0,0,0,912,4
8752542720,1,-1,0,1,651,0,0,0,1249,7
8752521387,1,-1,0,1,728,0,0,1,1136,6
8752501429,0,1,1673,1,669,0,0,1,900,8
8752481797,1,1,1330,1,734,0,0,0,1075,10
8752457685,1,1,1383,1,753,0,0,1,960,5
8752424381,0,-1,0,1,703,0,0,0,972,7
8752385474,0,-1,0,1,878,0,0,0,1007,11
8752347694,0,1,1376,1,758,0,0,0,1061,6
8752278790,0,1,1577,1,604,0,0,1,1169,5
8752213656,1,0,1614,1,396,0,0,0,1186,6
8752141618,0,-1,0,1,462,0,0,0,1146,7
8752131988,0,-1,0,1,669,0,0,0,1430,6
8752064493,0,1,1861,1,845,0,0,0,1242,8
8752050349,1,0,1475,1,618,0,0,1,1012,6
8752000285,0,1,1858,1,810,0,0,0,1079,9
8751948588,1,1,622,1,514,0,0,0,981,6
8751936358,0,1,1637,1,646,0,0,0,1009,5
8751884805,1,0,1264,1,764,0,0,0,991,5
8751867970,1,0,1712,1,504,0,0,1,985,6
8751822928,1,-1,0,1,675,0,0,1,900,7
8751773469,1,0,1602,1,594,0,0,0,1022,8
8751758182,1,0,1648,1,629,0,0,0,937,6
8751705789,0,0,1361,1,610,0,0,1,967,7
8751666743,1,1,1870,1,650,0,0,0,904,8
8751636114,0,1,1661,1,687,0,0,0,909,4
8751616425,0,-1,0,1,409,0,0,1,1208,7
8751608259,1,-1,0,1,692,0,0,0,900,6
8751596818,0,-1,0,1,563,0,0,1,1113,9
8751573848,0,-1,0,1,370,0,0,1,1069,4
8751557760,0,-1,0,1,720,0,0,1,1026,8
8751517759,0,-1,0,1,586,0,0,0,1246,8
8751517501,1,1,2061,1,789,0,0,0,900,8
8751498764,0,0,1126,1,697,0,0,0,900,6
8751486879,1,-1,0,1,426,0,0,1,1130,7
8751482407,0,1,1152,1,491,0,0,0,1235,6
8751464842,1,0,1470,1,692,0,0,1,1011,8
8751450814,0,1,973,1,563,0,0,0,900,7
8751441718,1,1,1647,1,673,0,0,0,1212,6
8751439553,0,1,1433,1,554,0,0,0,1268,6
8751427702,0,1,1576,1,668,0,0,1,909,6
8751423684,0,-1,0,1,646,0,0,1,1377,9
8751416235,0,-1,0,1,681,0,0,0,1347,7
8751390913,0,-1,0,1,831,0,0,0,994,6
8751389419,1,0,1649,1,678,0,0,1,1409,3
8751385274,1,1,1559,1,693,0,0,0,999,7
8751367633,1,0,1612,1,697,0,0,0,1214,7
8751363937,0,1,1730,1,597,0,0,1,1794,9
8751340143,1,0,1484,1,934,0,0,0,1502,8
8751339290,0,0,1377,1,900,0,0,1,1117,7
8751321501,0,1,1312,1,647,0,0,0,1202,6
8751303527,0,-1,0,1,751,0,0,0,1183,8
8751282578,1,0,1597,1,784,0,0,0,1017,4
8751258067,1,0,1960,1,677,0,0,0,1156,9
8751236402,0,-1,0,1,710,0,0,1,1140,7
8751215179,1,0,1626,1,678,0,0,0,906,3
8751192361,1,0,1845,1,827,0,0,1,1161,9
8751170701,1,0,1845,1,584,0,0,0,919,5
8751147323,1,0,1452,1,451,0,0,0,1155,5
8751127569,0,1,1671,1,759,0,0,1,1329,8
8751118379,1,0,1545,1,668,0,0,0,912,8
8751088438,0,1,1599,1,918,0,0,1,1154,10
8751084859,0,1,1546,1,520,0,0,1,1061,6
8751041189,1,0,1778,1,854,0,0,1,1079,9
8751024420,0,1,1686,1,655,0,0,0,905,7
8750955292,0,1,1553,1,578,0,0,1,1102,6
8750880708,1,0,2032,1,385,0,0,1,1690,4
8750823879,1,-1,0,1,565,0,0,-1,2400,6
8750768642,0,1,1357,1,709,0,0,0,1238,5
8750754956,1,0,1342,1,548,0,0,0,977,6
8750715385,1,0,1713,1,581,0,0,0,907,5
8750655017,0,0,1510,1,518,0,0,1,1073,7
8750649789,1,0,1434,1,682,0,0,0,1229,9
8750578961,1,0,1886,1,662,0,0,1,1218,4
8750563954,1,0,1241,1,631,0,0,0,1093,6
8750547785,0,0,1566,1,641,0,0,0,1061,7
8750518921,0,1,1558,1,796,0,0,1,1095,8
8750502711,1,-1,0,1,683,0,0,0,1024,10
8750488026,1,0,1313,1,537,0,0,0,984,5
8750451722,0,1,1550,1,652,0,0,-1,2400,4
8750450313,0,0,1388,1,802,0,0,0,901,6
8750411613,1,0,2025,1,631,0,0,0,1444,9
8750410165,1,0,1768,1,589,0,0,0,1315,9
8750388568,1,0,1619,1,762,0,0,1,906,7
8750373432,0,1,2288,1,663,0,0,1,1028,6
8750369233,0,0,1124,1,514,0,0,0,900,9
8750316733,0,1,1749,1,616,0,0,0,900,8
8750308006,1,0,1284,1,646,0,0,1,1037,3
8750304734,0,1,1171,1,573,0,0,0,928,8
8750283605,1,0,1609,1,649,0,0,0,917,7
8750259236,0,1,1365,1,616,0,0,1,1010,6
8750249409,0,1,1423,1,527,0,0,0,933,9
